Model,Dataset,FactCheck Acc,NLI Acc,QA Acc,QAdoc Acc,Twitter Acc,biological Acc,chemical Acc,environmental Acc,extraterrestrial Acc,geohazard Acc,meteorological_hydrological Acc,societal Acc,technological Acc
AceMath-1.5B-Instruct,base,0.743,0.767,0.710,0.713,0.772,0.760,0.776,0.792,0.656,0.776,0.756,0.720,0.692
AceMath-1.5B-Instruct,mix,0.910,0.935,0.915,0.905,0.940,0.916,0.928,0.936,0.896,0.920,0.908,0.940,0.924
AceMath-1.5B-Instruct,golden,0.980,0.988,0.985,0.963,0.993,0.972,0.996,0.996,0.948,0.984,0.972,0.988,0.996
Falcon3-1B-Instruct,base,0.703,0.767,0.760,0.790,0.718,0.736,0.776,0.744,0.708,0.728,0.796,0.752,0.740
Falcon3-1B-Instruct,mix,0.912,0.912,0.912,0.902,0.920,0.892,0.872,0.940,0.916,0.912,0.920,0.920,0.924
Falcon3-1B-Instruct,golden,0.968,0.965,0.975,0.963,0.975,0.964,0.980,0.988,0.964,0.968,0.956,0.972,0.960
Hunyuan-4B-Instruct,base,0.850,0.825,0.802,0.790,0.830,0.812,0.836,0.828,0.828,0.848,0.852,0.804,0.748
Hunyuan-4B-Instruct,mix,0.958,0.950,0.915,0.940,0.955,0.916,0.936,0.952,0.948,0.968,0.932,0.952,0.944
Hunyuan-4B-Instruct,golden,0.983,0.975,0.973,0.978,0.983,0.980,0.992,0.984,0.968,0.996,0.964,0.968,0.972
Hunyuan-7B-Instruct,base,0.588,0.605,0.502,0.545,0.610,0.540,0.644,0.656,0.404,0.560,0.568,0.648,0.540
Hunyuan-7B-Instruct,mix,0.907,0.887,0.860,0.860,0.880,0.880,0.868,0.892,0.860,0.900,0.872,0.892,0.868
Hunyuan-7B-Instruct,golden,0.943,0.938,0.922,0.925,0.925,0.948,0.936,0.944,0.900,0.948,0.904,0.932,0.932
Llama-3.2-1B-Instruct,base,0.802,0.833,0.823,0.777,0.825,0.792,0.816,0.848,0.768,0.820,0.836,0.836,0.780
Llama-3.2-1B-Instruct,mix,0.940,0.940,0.935,0.912,0.945,0.912,0.924,0.956,0.940,0.944,0.928,0.948,0.924
Llama-3.2-1B-Instruct,golden,0.970,0.973,0.975,0.958,0.970,0.952,0.984,0.980,0.956,0.976,0.980,0.972,0.952
Mistral-7B-Instruct-v0.2,base,0.828,0.807,0.790,0.850,0.815,0.784,0.800,0.800,0.824,0.864,0.848,0.824,0.800
Mistral-7B-Instruct-v0.2,mix,0.960,0.932,0.930,0.955,0.940,0.924,0.924,0.952,0.932,0.948,0.956,0.956,0.956
Mistral-7B-Instruct-v0.2,golden,0.998,0.965,0.978,0.995,0.998,0.984,0.996,0.980,0.972,0.992,0.992,0.984,0.992
Yi-6B-Chat,base,0.875,0.858,0.840,0.853,0.863,0.820,0.876,0.832,0.836,0.896,0.864,0.884,0.852
