difficulty_display,Easy,Easy,Easy,Medium,Medium,Medium,Hard,Hard,Hard,Extremely Complex,Extremely Complex,Extremely Complex
test_type_display,Base,Mix,Golden,Base,Mix,Golden,Base,Mix,Golden,Base,Mix,Golden
model_display,,,,,,,,,,,,
GPT-4o,84.47033333333333,87.94433333333333,96.5,83.57203252032518,90.22260162601626,95.53414634146343,83.70930232558139,89.00302325581396,94.60372093023256,81.25,100.0,90.1775
Gemini-1.5 Pro,78.00033333333334,81.07400000000001,94.57933333333334,85.0719512195122,84.23544715447153,95.01032520325204,86.96999999999998,86.89348837209303,95.47488372093024,90.1775,66.6675,95.8325
Qwen-3-8B,70.61066666666666,86.68233333333335,91.25133333333335,82.00284552845527,85.73585365853658,95.15365853658537,77.68255813953489,91.14046511627907,92.85953488372093,70.83500000000001,90.1775,88.69
Yi-6B-Chat,61.79766666666667,83.33333333333333,84.32566666666666,74.4430894308943,85.20398373983738,87.19699186991869,76.11581395348837,84.34093023255814,85.53395348837209,81.6675,83.75,93.75
Llama-3-8B,74.41266666666667,84.714,93.55566666666667,78.99666666666668,83.81626016260164,93.59325203252033,77.4474418604651,87.76837209302326,93.67627906976745,53.75,96.4275,85.41499999999999
Qwen-3-4B,74.62700000000001,78.94433333333333,91.22766666666666,76.49593495934963,83.16967479674796,91.29869918699187,77.91767441860465,87.81441860465117,94.22813953488372,76.6675,81.25,82.5
Qwen-2.5-3B-Instr.,73.10333333333332,84.44466666666668,93.37033333333332,78.28365853658536,85.19081300813009,94.22235772357723,75.1853488372093,86.1986046511628,91.46441860465117,81.66499999999999,90.1775,90.8325
Phi-2,67.31466666666667,76.18233333333335,85.83333333333333,74.11764227642277,83.54894308943089,86.2610569105691,77.13186046511628,81.87604651162789,89.35348837209303,86.6675,81.25,89.5825
Mistral-7B-Instr.,74.01866666666666,81.05533333333332,92.27766666666666,76.57536585365854,87.22626016260162,91.24764227642277,75.79209302325582,82.35837209302325,92.47116279069768,88.75,95.8325,89.5825
Gemma-7B,70.26966666666667,69.57933333333334,90.21433333333333,71.79634146341465,71.5741463414634,88.97414634146342,77.26674418604651,65.18279069767442,91.37744186046511,78.33500000000001,60.417500000000004,91.6675
DeepSeek-v3-7B,71.65066666666665,77.57933333333334,91.35266666666666,75.60121951219513,86.79528455284552,92.26008130081301,69.4767441860465,81.40488372093024,92.32534883720929,65.4175,78.75,86.00999999999999
Llama-3.2-3B-Instr.,67.72266666666668,77.23800000000001,91.91666666666667,77.70747967479677,83.98138211382114,91.86780487804877,79.11395348837209,90.53720930232559,92.29930232558138,83.095,80.3575,93.75
Llama-3.2-1B-Instr.,77.89933333333333,83.61133333333333,91.22233333333334,72.68113821138212,86.130081300813,90.37975609756099,75.24558139534884,88.86441860465116,89.81162790697675,95.0,91.6675,90.1775
Falcon-3-1B-Instr.,61.524,84.74199999999999,91.222,71.16926829268293,83.54674796747969,92.74666666666666,77.13000000000001,85.74953488372093,91.19581395348837,74.375,79.525,96.4275
AceMath-1.5B-Instr.,55.51533333333334,88.19033333333333,92.68666666666668,68.48349593495936,87.13569105691056,92.02658536585366,75.13511627906976,83.6246511627907,92.15930232558138,62.917500000000004,90.8325,100.0
Hunyuan-4B-Instr.,63.67433333333334,80.33333333333333,94.27766666666666,65.69528455284555,86.35447154471544,90.18959349593496,73.43953488372094,81.91,93.0086046511628,70.4175,84.525,90.0
Hunyuan-7B-Instr.,38.07133333333333,68.41266666666667,69.69,37.33926829268293,73.27292682926829,82.11878048780487,46.9953488372093,73.5432558139535,80.38,42.917500000000004,75.0,83.3325
Qwen-3-0.6B,57.650666666666666,85.93633333333334,91.47233333333334,71.35146341463415,84.64268292682927,90.08544715447154,72.0427906976744,87.51930232558139,90.43744186046511,85.1775,95.0,75.0
